Country Name,Country Code,Series Name,Series Code,1980 [YR1980],2000 [YR2000],2010 [YR2010],2022 [YR2022]
Ghana,GHA,"Population, total",SP.POP.TOTL,11865246,19665502,25574719,33475870
Gibraltar,GIB,"Population, total",SP.POP.TOTL,28734,27741,31262,32649
Greece,GRC,"Population, total",SP.POP.TOTL,9642505,10805808,11121341,10566531
Greenland,GRL,"Population, total",SP.POP.TOTL,50200,56200,56905,56661
Grenada,GRD,"Population, total",SP.POP.TOTL,94838,107432,114039,125438
Guam,GUM,"Population, total",SP.POP.TOTL,110286,160188,164905,171774
Guatemala,GTM,"Population, total",SP.POP.TOTL,6890346,11589761,14259687,17357886
Guinea,GIN,"Population, total",SP.POP.TOTL,4972609,8336967,10270728,13859341
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,831462,1230849,1567220,2105566
Guyana,GUY,"Population, total",SP.POP.TOTL,778176,759051,747932,808726
Haiti,HTI,"Population, total",SP.POP.TOTL,5646676,8360225,9842880,11584996
Honduras,HND,"Population, total",SP.POP.TOTL,3777990,6656725,8450933,10432860
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,5063100,6665000,7024200,7346100
Hungary,HUN,"Population, total",SP.POP.TOTL,10711122,10210971,10000023,9683505
Iceland,ISL,"Population, total",SP.POP.TOTL,228138,281205,318041,381900
India,IND,"Population, total",SP.POP.TOTL,696828385,1059633675,1240613620,1417173173
Indonesia,IDN,"Population, total",SP.POP.TOTL,148177096,214072421,244016173,275501339
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,38520664,65544383,75373855,88550570
Iraq,IRQ,"Population, total",SP.POP.TOTL,13653369,24628858,31264875,44496122
Ireland,IRL,"Population, total",SP.POP.TOTL,3412800,3805174,4560155,5086988
Isle of Man,IMN,"Population, total",SP.POP.TOTL,64022,75562,83828,84519
Israel,ISR,"Population, total",SP.POP.TOTL,3878000,6289000,7623600,9550600
Italy,ITA,"Population, total",SP.POP.TOTL,56433883,56942108,59277417,58856847
Jamaica,JAM,"Population, total",SP.POP.TOTL,2135546,2612205,2733896,2827377
Japan,JPN,"Population, total",SP.POP.TOTL,116807000,126843000,128070000,125124989
Jordan,JOR,"Population, total",SP.POP.TOTL,2216903,5056174,6931258,11285869
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,14172710,14883626,16321872,19621972
Kenya,KEN,"Population, total",SP.POP.TOTL,16187124,30851606,41517895,54027487
Kiribati,KIR,"Population, total",SP.POP.TOTL,60813,88826,107995,131232
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,17973650,23367059,24686435,26069416
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,38123775,47008111,49554112,51628117
Kosovo,XKX,"Population, total",SP.POP.TOTL,1521000,1700000,1775680,1761985
Kuwait,KWT,"Population, total",SP.POP.TOTL,1493870,1934901,2943356,4268873
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,3617400,4898400,5447900,6803300
Lao PDR,LAO,"Population, total",SP.POP.TOTL,3297519,5430853,6323418,7529475
Latvia,LVA,"Population, total",SP.POP.TOTL,2511701,2367550,2097555,1883379
Lebanon,LBN,"Population, total",SP.POP.TOTL,2963702,4320642,4995800,5489739
Lesotho,LSO,"Population, total",SP.POP.TOTL,1407672,1998630,2022747,2305825
Liberia,LBR,"Population, total",SP.POP.TOTL,1932169,2895224,4019956,5302681
Libya,LBY,"Population, total",SP.POP.TOTL,2962720,5154790,6491988,6812341
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,25003,33026,35926,39327
Lithuania,LTU,"Population, total",SP.POP.TOTL,3413202,3499536,3097282,2833000
Luxembourg,LUX,"Population, total",SP.POP.TOTL,364150,436300,506953,650774
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,245332,431896,557297,695168
Madagascar,MDG,"Population, total",SP.POP.TOTL,8948162,16216431,21731053,29611714
Malawi,MWI,"Population, total",SP.POP.TOTL,6267369,11229387,14718422,20405317
Malaysia,MYS,"Population, total",SP.POP.TOTL,13215707,22945150,28717731,33938221
Maldives,MDV,"Population, total",SP.POP.TOTL,164887,282507,361575,523787
Mali,MLI,"Population, total",SP.POP.TOTL,7372581,11239101,15529181,22593590
Malta,MLT,"Population, total",SP.POP.TOTL,316645,390087,414508,523417
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,31988,54224,53416,41569
Mauritania,MRT,"Population, total",SP.POP.TOTL,1506694,2695003,3419461,4736139
Mauritius,MUS,"Population, total",SP.POP.TOTL,966039,1186873,1250400,1262523
Mexico,MEX,"Population, total",SP.POP.TOTL,67705186,97873442,112532401,127504125
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,76299,111709,107588,114164
Moldova,MDA,"Population, total",SP.POP.TOTL,2716068,2924668,2862354,2592477
Monaco,MCO,"Population, total",SP.POP.TOTL,27076,32465,33178,36469
Mongolia,MNG,"Population, total",SP.POP.TOTL,1697780,2450979,2702520,3398366
Montenegro,MNE,"Population, total",SP.POP.TOTL,572608,604950,619428,616159
Morocco,MAR,"Population, total",SP.POP.TOTL,19678444,28554415,32464865,37457971
Mozambique,MOZ,"Population, total",SP.POP.TOTL,11413587,17768505,23073723,32969518
Myanmar,MMR,"Population, total",SP.POP.TOTL,33465781,45538332,49390988,54179306
Namibia,NAM,"Population, total",SP.POP.TOTL,975994,1819141,2099271,2567012
Nauru,NRU,"Population, total",SP.POP.TOTL,7635,10377,10241,12668
Nepal,NPL,"Population, total",SP.POP.TOTL,15600442,24559500,27161567,30547580
Netherlands,NLD,"Population, total",SP.POP.TOTL,14149800,15925513,16615394,17703090
New Caledonia,NCL,"Population, total",SP.POP.TOTL,140050,213230,249750,276780
New Zealand,NZL,"Population, total",SP.POP.TOTL,3112900,3857700,4350700,5124100
Nicaragua,NIC,"Population, total",SP.POP.TOTL,3303309,5123222,5855734,6948392
Niger,NER,"Population, total",SP.POP.TOTL,6173177,11622665,16647543,26207977
Nigeria,NGA,"Population, total",SP.POP.TOTL,72951439,122851984,160952853,218541212
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1907023,2026350,2055004,2057679
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,17613,80338,54087,49551
Norway,NOR,"Population, total",SP.POP.TOTL,4085620,4490967,4889252,5457127
Oman,OMN,"Population, total",SP.POP.TOTL,1017462,2344253,2881914,4576298
Pakistan,PAK,"Population, total",SP.POP.TOTL,80624057,154369924,194454498,235824862
Palau,PLW,"Population, total",SP.POP.TOTL,12252,19726,18540,18055
Panama,PAN,"Population, total",SP.POP.TOTL,1956987,3001731,3623617,4408581
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,3104788,5508297,7583269,10142619
Paraguay,PRY,"Population, total",SP.POP.TOTL,3078912,5123819,5768613,6780744
Peru,PER,"Population, total",SP.POP.TOTL,17492406,26654439,29229572,34049588
Philippines,PHL,"Population, total",SP.POP.TOTL,48419546,77958223,94636700,115559009
Poland,POL,"Population, total",SP.POP.TOTL,35574150,38258629,38042794,37561599
Portugal,PRT,"Population, total",SP.POP.TOTL,9766312,10289898,10573100,10379007
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3206000,3810605,3721525,3221789
Qatar,QAT,"Population, total",SP.POP.TOTL,277450,645937,1713504,2695122
Romania,ROU,"Population, total",SP.POP.TOTL,22207282,22442971,20246871,18956666
Russian Federation,RUS,"Population, total",SP.POP.TOTL,139010000,146596869,142849468,143555736
Rwanda,RWA,"Population, total",SP.POP.TOTL,5247532,8109989,10309031,13776698
Samoa,WSM,"Population, total",SP.POP.TOTL,164905,184008,194672,222382
San Marino,SMR,"Population, total",SP.POP.TOTL,21346,26823,31608,33660
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,97210,143714,182138,227380
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,10171710,21547390,29411929,36408820
Senegal,SEN,"Population, total",SP.POP.TOTL,5703869,9704287,12530121,17316449
Serbia,SRB,"Population, total",SP.POP.TOTL,7362000,7516346,7291436,6760087
Seychelles,SYC,"Population, total",SP.POP.TOTL,63261,81131,89770,100060
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,3367477,4584067,6436698,8605718
Singapore,SGP,"Population, total",SP.POP.TOTL,2413945,4027887,5076732,5637022
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,12243,30519,34056,43389
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,4979815,5388720,5391428,5431752
Slovenia,SVN,"Population, total",SP.POP.TOTL,1901315,1988925,2048583,2108732
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,233668,429978,540394,724273
Somalia,SOM,"Population, total",SP.POP.TOTL,5892224,8721465,12026649,17597511
South Africa,ZAF,"Population, total",SP.POP.TOTL,29463549,46813266,51784921,59893885
South Sudan,SSD,"Population, total",SP.POP.TOTL,4192012,6114440,9714419,10913164
Spain,ESP,"Population, total",SP.POP.TOTL,37491165,40567864,46576897,47615034
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,14943645,18776371,20668557,22181000
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,43097,45461,47403,47657
St. Lucia,LCA,"Population, total",SP.POP.TOTL,121633,159500,170935,179857
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,7776,29610,36458,31791
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,107480,113813,109308,103948
Sudan,SDN,"Population, total",SP.POP.TOTL,16673586,26298773,33739933,46874204
Suriname,SUR,"Population, total",SP.POP.TOTL,375112,478998,546080,618040
Sweden,SWE,"Population, total",SP.POP.TOTL,8310531,8872109,9378126,10486941
Switzerland,CHE,"Population, total",SP.POP.TOTL,6319408,7184250,7824909,8769741
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,8898954,16307654,22337563,22125249
Tajikistan,TJK,"Population, total",SP.POP.TOTL,4045965,6272998,7621779,9952787
Tanzania,TZA,"Population, total",SP.POP.TOTL,19297659,34463704,45110527,65497748
Thailand,THA,"Population, total",SP.POP.TOTL,45737753,63066603,68270489,71697030
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,642224,878360,1088486,1341296
Togo,TGO,"Population, total",SP.POP.TOTL,2838110,5008035,6571855,8848699
Tonga,TON,"Population, total",SP.POP.TOTL,96708,102603,107383,106858
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1127852,1332203,1410296,1531044
Tunisia,TUN,"Population, total",SP.POP.TOTL,6578156,9893316,10895063,12356117
Turkiye,TUR,"Population, total",SP.POP.TOTL,44089069,64113547,73195345,85341241
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,2862903,4569132,5267970,6430770
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,7598,18744,29726,45703
